BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03633300,1470,770,0.07200000000000001,0.27,0.377,0.6,385,445,,0.36,0.23,6451.0,513,55.440000000000005,714.56,207.9,290.29,,0.30272108843537415
BU03633301,2495,1270,0.08,0.33899999999999997,0.317,0.5,480,705,,0.34,0.27,9356.0,460,101.60000000000001,1168.4,430.53,402.59000000000003,,0.28256513026052105
BU03633302,3085,1620,0.061,0.278,0.32,0.5,580,455,42.8,0.71,0.17,18238.0,537,98.82,1521.18,450.36,518.4,,0.14748784440842788
BU03633303,2380,1370,0.094,0.35,0.26,0.6,480,425,,1.04,0.13,18810.0,432,128.78,1241.22,479.49999999999994,356.2,,0.17857142857142858
BU03633304,2740,1110,0.057,0.21899999999999997,0.442,0.7,520,390,38.1,0.36,0.16,17638.0,583,63.27,1046.73,243.08999999999997,490.62,,0.14233576642335766
BU03633305,2835,1195,0.085,0.278,0.38799999999999996,0.6,475,505,36.0,0.27,0.12,23926.0,574,101.575,1093.425,332.21000000000004,463.65999999999997,,0.1781305114638448
BU03633306,1435,785,0.131,0.45,0.165,0.5,285,540,,0.13,0.11,13176.0,387,102.83500000000001,682.165,353.25,129.525,,0.37630662020905925
BU03633307,1740,1030,0.113,0.405,0.192,0.5,325,550,,0.14,0.1,17299.0,364,116.39,913.61,417.15000000000003,197.76,,0.3160919540229885
BU03633308,35,20,,,,,5,5,,0.05,0.04,826.0,,,,,,,0.14285714285714285
BU03633309,455,270,0.138,0.374,0.264,0.5,85,115,,0.31,0.17,2624.0,,37.260000000000005,232.74,100.98,71.28,,0.25274725274725274
BU03633310,155,90,,,,0.9,35,10,,0.1,0.05,3090.0,,,,,,,0.06451612903225806
BU03633400,20,15,,,,,5,0,,0.38,0.35,68.0,,,,,,,0.0
BU03633402,490,455,,0.972,0.006,0.1,135,135,,0.23,0.23,2182.0,152,,,442.26,2.73,,0.2755102040816326
